detector,pr_auc,spearman_vs_delta_auc,spearman_p,n
cbpe_predicted_drop,0.9765366985531674,-0.8363068545803974,7.25082919057405e-60,224
psi_mean,0.8497253174830468,-0.4604505658765749,3.729661180509443e-13,224
psi_max,0.8255344191690834,-0.3573905616058083,3.759504815862152e-08,224
psi_max_categorical,0.8255344191690834,-0.3573905616058083,3.759504815862152e-08,224
domain_auc,0.8175269313393287,-0.34593316250266926,1.075700446803592e-07,224
ks_max_d,0.7445467419809362,-0.11965282218057008,0.07390412015613687,224
psi_max_numeric,0.7166359234293845,-0.07712790945974804,0.25030871575006813,224
neglog_min_p,0.6895253074141068,-0.14198276443746272,0.03367966377391048,224
score_psi,0.6732276047535299,-0.1261338885329917,0.05946063945938004,224
